CatalogusNr;Artiest;Titel;Jaar;Drager;Aantal Drager;DiscogsID;Genre;Label;Laatste update;In bezit
9362-46702-2;Fleetwood Mac;The Dance;1997;CD - Album;1;8225447;Rock, Pop;Reprise Records;25-3-2026 19:48:00;Ja
9548-33587-2;Various;Nachtwacht;1995;CD - Compilation;1;1118109;Rock, Funk / Soul, Pop;Magnum, TROS;25-3-2026 19:31:00;Ja
abcd 30101-2;Various;De 100 Mooiste Love Songs Uit 30 Jaar Candlelight;1998;CD - Compilation;4;6346657;Pop, Folk, World, & Country;ABCD;25-3-2026 18:59:00;Ja
ADE H 15;Various;20 Country Greats;1975;LP;1;5338463;Folk, World, & Country;Arcade Records (3);20-3-2026 19:19:39;Ja
ADE H23;Johnny Cash;The Best Of Johnny Cash;1977;LP;;1120268;Rock, Country Rock;Arcade Records;19-3-2026 15:02:47;Ja
ADE H52;Various;Golden Pop Instrumentals;1980;LP;;4792999;Electronic, Funk / Soul, Blues, Pop, Electro;Villa;19-3-2026 15:02:09;Ja
ADEH 129;The Everly Brothers;Reunion Concert (Recorded Live At The Albert Hall September 23rd 1983);1983;LP;;2233409;Rock, Pop, Rock & Roll, Soft Rock, Ballad;Arcade;19-3-2026 14:56:51;Ja
ADEH 162;Various;Now This Is Music;1984;LP;;411486;Electronic, Rock, Pop Rock, Synth-pop;EMI;19-3-2026 15:07:19;Ja
ADEH 166;Status Quo;The Complete Hitalbum;1985;LP;;1414255;Rock, Rock & Roll, Hard Rock, Pop Rock, Classic Rock;Arcade;19-3-2026 16:08:15;Ja
ADEH 195;Various;One More Night (28 Exclusive Popsongs);1985;LP;;4380204;Rock, Pop, Pop Rock, Ballad;Arcade;19-3-2026 14:57:22;Ja
ADEH 209;Various;De Allergrootste Zomerhits;1986;LP;;3923221;Latin, Funk / Soul, Pop, Salsa, Chanson, Ballad, Disco;Arcade;19-3-2026 16:09:02;Ja
adeh 311;Various;Love Hurts - 28 Romantic Popsongs;1983;Vinyl - LP, Compilation;2;852997;Rock, Pop;Arcade;25-3-2026 15:26:00;Ja
ADEH 58;The Shadows;20 Greatest Hits;;LP;;648013;Rock, Rock & Roll;Imperial;19-3-2026 15:05:05;Ja
adeh 89;Various;Remember The 60's (Volume 1);1983;Vinyl - LP, Compilation;2;13982855;Rock;Arcade Crown, Arcade Villa, Arcade Villa;25-3-2026 14:56:00;Ja
ADEH 91;Frankie Laine;The World Of Frankie Laine;1982;LP;;13003606;Folk, World, & Country, Country;Arcade;19-3-2026 13:19:38;Ja
adehcd 827;Various;Christmas Love Songs;1986;CD - Compilation;1;4519753;Jazz, Pop, Classical, Folk, World, & Country;Arcade;25-3-2026 19:14:00;Ja
AMLM 66702;Supertramp;Paris;1980;LP;2;1414049;Rock;A&M Records;20-3-2026 22:45:07;Ja
an 8211;De Mastreechter Staar;Proficiat Mastreechter Staar - Uw Favoriete Wensconcert;1983;Vinyl - LP, Compilation;2;6359408;Classical;Arrival Records;25-3-2026 14:57:00;Ja
as 53051;Eagles;Hotel California;1976;LP;;10779890;Rock, Classic Rock, Country Rock;Asylum Records;19-3-2026 13:17:20;Ja
ATL 20 023;Various;That’s Soul;0;Vinyl - LP, Compilation, Reissue, Stereo;1;13248223;Funk / Soul;Atlantic;25-3-2026 14:56:00;Ja
B 64 005 BO 1;Various;Favorieten Express;1980;LP;;9195972;Pop;Reader's Digest;19-3-2026 16:30:47;Ja
B65205 DB1;Various;Muzikale Herinneringen Aan De Jaren '40;1989;LP;8;30086574;Jazz, Pop, Stage & Screen;Reader's Digest Music;24-3-2026 18:53:54;Ja
BL 3274;Galt MacDermot;Hair (Original Soundtrack Recording);1979;LP;;3352198;Jazz, Rock, Funk / Soul, Pop, Stage & Screen, Soundtrack, Country Rock, Pop Rock, Soul, Easy Listening;RCA Victor;19-3-2026 13:19:20;Ja
BLM 379;De Mölnblaozers;Draaiende Wieken. De Möl´n Blaoskapel o.l.v. W. Loff;1985;LP;1;22519157;Folk, World, & Country;BLM;20-3-2026 21:25:42;Ja
